id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated,text,Volume
3632,KLAX,large_airport,Los Angeles International Airport,33.942501,-118.407997,125,,United States,US,California,US-CA,CA,Los Angeles,1,KLAX,LAX,LAX,https://www.flylax.com/,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport,,1335475,2020-04-26T22:37:22+00:00,Los Angeles International Airport,31055358
3754,KORD,large_airport,Chicago O'Hare International Airport,41.9786,-87.9048,672,,United States,US,Illinois,US-IL,IL,Chicago,1,KORD,ORD,ORD,https://www.flychicago.com/ohare/home/pages/default.aspx,https://en.wikipedia.org/wiki/O'Hare_International_Airport,"CHI, Orchard Place",1503175,2018-09-16T02:35:35+00:00,Chicago O'Hare International Airport,0
3622,KJFK,large_airport,John F Kennedy International Airport,40.639801,-73.7789,13,,United States,US,New York,US-NY,NY,New York,1,KJFK,JFK,JFK,https://www.jfkairport.com/,https://en.wikipedia.org/wiki/John_F._Kennedy_International_Airport,"Manhattan, New York City, NYC, Idlewild",1052075,2020-04-26T22:35:58+00:00,John F Kennedy International Airport,21906246
3384,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026,,United States,US,Georgia,US-GA,GA,Atlanta,1,KATL,ATL,ATL,http://www.atlanta-airport.com/,https://en.wikipedia.org/wiki/Hartsfield–Jackson_Atlanta_International_Airport,,2002475,2018-09-19T14:50:01+00:00,Hartsfield Jackson Atlanta International Airport,10080385
3878,KSFO,large_airport,San Francisco International Airport,37.61899948,-122.375,13,,United States,US,California,US-CA,CA,San Francisco,1,KSFO,SFO,SFO,http://www.flysfo.com/,https://en.wikipedia.org/wiki/San_Francisco_International_Airport,"QSF, QBA",1112475,2008-06-13T14:30:04+00:00,San Francisco International Airport,4170705
3521,KEWR,large_airport,Newark Liberty International Airport,40.69250107,-74.16870117,18,,United States,US,New Jersey,US-NJ,NJ,Newark,1,KEWR,EWR,EWR,http://www.panynj.gov/CommutingTravel/airports/html/newarkliberty.html,https://en.wikipedia.org/wiki/Newark_Liberty_International_Airport,"Manhattan, New York City, NYC",1064475,2008-06-13T14:30:04+00:00,Newark Liberty International Airport,17957583
3488,KDFW,large_airport,Dallas Fort Worth International Airport,32.896801,-97.038002,607,,United States,US,Texas,US-TX,TX,Dallas-Fort Worth,1,KDFW,DFW,DFW,https://www.dfwairport.com/,https://en.wikipedia.org/wiki/Dallas/Fort_Worth_International_Airport,QDF,1203175,2018-09-19T14:53:02+00:00,Dallas Fort Worth International Airport,0
3631,KLAS,large_airport,McCarran International Airport,36.08010101,-115.1520004,2181,,United States,US,Nevada,US-NV,NV,Las Vegas,1,KLAS,LAS,LAS,http://www.mccarran.com/,https://en.wikipedia.org/wiki/McCarran_International_Airport,,1068475,2010-07-05T16:48:39+00:00,McCarran International Airport,4413366
3670,KMCO,large_airport,Orlando International Airport,28.42939949,-81.30899811,96,,United States,US,Florida,US-FL,FL,Orlando,1,KMCO,MCO,MCO,http://www.orlandoairports.net/,https://en.wikipedia.org/wiki/Orlando_International_Airport,"Disney World,Epcot Center",1044075,2008-06-13T14:30:04+00:00,Orlando International Airport,5152338
3486,KDEN,large_airport,Denver International Airport,39.86169815,-104.6729965,5431,,United States,US,Colorado,US-CO,CO,Denver,1,KDEN,DEN,DEN,http://www.flydenver.com/,https://en.wikipedia.org/wiki/Denver_International_Airport,"DVX, KVDX",1103275,2015-11-13T09:28:42+00:00,Denver International Airport,0
3643,KLGA,large_airport,La Guardia Airport,40.777199,-73.872597,21,,United States,US,New York,US-NY,NY,New York,1,KLGA,LGA,LGA,https://www.laguardiaairport.com/,https://en.wikipedia.org/wiki/LaGuardia_Airport,"Manhattan, New York City, NYC, Glenn H. Curtiss Airport, North Beach Airport, La Guardia",1030575,2020-06-22T09:51:47+00:00,La Guardia Airport,9977213
3602,KIAD,large_airport,Washington Dulles International Airport,38.9445,-77.455803,312,,United States,US,Virginia,US-VA,VA,"Washington, DC",1,KIAD,IAD,IAD,http://www.mwaa.com/dulles/,https://en.wikipedia.org/wiki/Washington_Dulles_International_Airport,WAS,1023875,2020-11-04T14:25:17+00:00,Washington Dulles International Airport,7686835
3685,KMIA,large_airport,Miami International Airport,25.79319954,-80.29060364,8,,United States,US,Florida,US-FL,FL,Miami,1,KMIA,MIA,MIA,http://www.miami-airport.com/,https://en.wikipedia.org/wiki/Miami_International_Airport,"MFW, South Florida",1073075,2008-06-13T14:30:04+00:00,Miami International Airport,13252699
3772,KPHX,large_airport,Phoenix Sky Harbor International Airport,33.43429947,-112.012001,1135,,United States,US,Arizona,US-AZ,AZ,Phoenix,1,KPHX,PHX,PHX,http://phoenix.gov/skyharborairport/,https://en.wikipedia.org/wiki/Phoenix_Sky_Harbor_International_Airport,,1060875,2008-06-13T14:30:04+00:00,Phoenix Sky Harbor International Airport,5152338
3875,KSEA,large_airport,Seattle Tacoma International Airport,47.449001,-122.308998,433,,United States,US,Washington,US-WA,WA,Seattle,1,KSEA,SEA,SEA,http://www.portseattle.org/seatac/,https://en.wikipedia.org/wiki/Seattle–Tacoma_International_Airport,,1038675,2018-09-19T14:50:47+00:00,Seattle Tacoma International Airport,4170705
3422,KBOS,large_airport,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,20,,United States,US,Massachusetts,US-MA,MA,Boston,1,KBOS,BOS,BOS,http://www.massport.com/logan/,https://en.wikipedia.org/wiki/Logan_International_Airport,General Edward Lawrence Logan International Airport,1035875,2010-01-23T11:27:48+00:00,General Edward Lawrence Logan International Airport,17957583
3771,KPHL,large_airport,Philadelphia International Airport,39.87189865,-75.2410965,36,,United States,US,Pennsylvania,US-PA,PA,Philadelphia,1,KPHL,PHL,PHL,http://www.phl.org/,https://en.wikipedia.org/wiki/Philadelphia_International_Airport,,1031075,2008-06-13T14:30:04+00:00,Philadelphia International Airport,4413366
3457,KCLT,large_airport,Charlotte Douglas International Airport,35.2140007,-80.94309998,748,,United States,US,North Carolina,US-NC,NC,Charlotte,1,KCLT,CLT,CLT,http://www.charlotteairport.com/,https://en.wikipedia.org/wiki/Charlotte/Douglas_International_Airport,,1028075,2009-01-30T14:52:52+00:00,Charlotte Douglas International Airport,0
3604,KIAH,large_airport,George Bush Intercontinental Houston Airport,29.9843998,-95.34140015,97,,United States,US,Texas,US-TX,TX,Houston,1,KIAH,IAH,IAH,http://www.fly2houston.com/iah,https://en.wikipedia.org/wiki/George_Bush_Intercontinental_Airport,QHO,1055675,2008-06-13T14:30:04+00:00,George Bush Intercontinental Houston Airport,17957583
3497,KDTW,large_airport,Detroit Metropolitan Wayne County Airport,42.21239853,-83.35340118,645,,United States,US,Michigan,US-MI,MI,Detroit,1,KDTW,DTW,DTW,http://www.metroairport.com/,https://en.wikipedia.org/wiki/Detroit_Metropolitan_Wayne_County_Airport,"DTT, Detroit Metro Airport",1079375,2008-06-13T14:30:04+00:00,Detroit Metropolitan Wayne County Airport,13252699
3483,KDCA,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,15,,United States,US,District of Columbia,US-DC,DC,Washington,1,KDCA,DCA,DCA,http://www.flyreagan.com/dca/reagan-national-airport,https://en.wikipedia.org/wiki/Ronald_Reagan_Washington_National_Airport,WAS,1016175,2016-12-13T09:13:00+00:00,Ronald Reagan Washington National Airport,4170705
3709,KMSP,large_airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,44.882,-93.221802,841,,United States,US,Minnesota,US-MN,MN,Minneapolis,1,KMSP,MSP,MSP,http://www.mspairport.com/,https://en.wikipedia.org/wiki/Minneapolis–Saint_Paul_International_Airport,,1085275,2018-09-19T14:51:47+00:00,Minneapolis-St Paul International/Wold-Chamberlain Airport,5152338
3887,KSLC,large_airport,Salt Lake City International Airport,40.78839874,-111.9779968,4227,,United States,US,Utah,US-UT,UT,Salt Lake City,1,KSLC,SLC,SLC,,https://en.wikipedia.org/wiki/Salt_Lake_City_International_Airport,,1025075,2008-06-13T14:30:04+00:00,Salt Lake City International Airport,4170705
3862,KSAN,large_airport,San Diego International Airport,32.73360062,-117.1900024,17,,United States,US,California,US-CA,CA,San Diego,1,KSAN,SAN,SAN,http://www.san.org/,https://en.wikipedia.org/wiki/San_Diego_International_Airport,Lindbergh Field,1017175,2014-12-10T01:00:52+00:00,San Diego International Airport,4170705
3673,KMDW,large_airport,Chicago Midway International Airport,41.785999,-87.752403,620,,United States,US,Illinois,US-IL,IL,Chicago,1,KMDW,MDW,MDW,https://www.flychicago.com/midway/home/pages/default.aspx,https://en.wikipedia.org/wiki/Midway_International_Airport,CHI,1015475,2018-09-16T02:34:32+00:00,Chicago Midway International Airport,0
3531,KFLL,large_airport,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,9,,United States,US,Florida,US-FL,FL,Fort Lauderdale,1,KFLL,FLL,FLL,http://www.broward.org/airport,https://en.wikipedia.org/wiki/Fort_Lauderdale–Hollywood_International_Airport,"MFW, South Florida",1015275,2018-09-16T02:40:06+00:00,Fort Lauderdale Hollywood International Airport,10080385
3435,KBWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,146,,United States,US,Maryland,US-MD,MD,Baltimore,1,KBWI,BWI,BWI,https://www.bwiairport.com/,https://en.wikipedia.org/wiki/Baltimore%E2%80%93Washington_International_Airport,WAS,1021075,2018-09-16T02:37:47+00:00,Baltimore/Washington International Thurgood Marshall Airport,8506262
3905,KSTL,large_airport,St Louis Lambert International Airport,38.748697,-90.370003,618,,United States,US,Missouri,US-MO,MO,St Louis,1,KSTL,STL,STL,https://www.flystl.com/,https://en.wikipedia.org/wiki/St._Louis_Lambert_International_Airport,Lambert St Louis,1047075,2018-09-21T03:04:43+00:00,St Louis Lambert International Airport,4170705
5453,PHNL,large_airport,Daniel K Inouye International Airport,21.32062,-157.924228,13,,United States,US,Hawaii,US-HI,HI,Honolulu,1,PHNL,HNL,HNL,http://airports.hawaii.gov/hnl/,https://en.wikipedia.org/wiki/Daniel_K._Inouye_International_Airport,"Hickam Air Force Base, HIK, PHIK, KHNL, Honolulu International",1029375,2018-09-16T02:42:33+00:00,Daniel K Inouye International Airport,0
3768,KPDX,large_airport,Portland International Airport,45.58869934,-122.5979996,31,,United States,US,Oregon,US-OR,OR,Portland,1,KPDX,PDX,PDX,,https://en.wikipedia.org/wiki/Portland_International_Airport,,1015775,2010-01-23T11:28:03+00:00,Portland International Airport,4170705
3711,KMSY,large_airport,Louis Armstrong New Orleans International Airport,29.99340057,-90.25800323,4,,United States,US,Louisiana,US-LA,LA,New Orleans,1,KMSY,MSY,MSY,,https://en.wikipedia.org/wiki/Louis_Armstrong_New_Orleans_International_Airport,,1012575,2008-06-13T14:30:04+00:00,Louis Armstrong New Orleans International Airport,4894144
3471,KCVG,large_airport,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,896,,United States,US,Kentucky,US-KY,KY,Cincinnati / Covington,1,KCVG,CVG,CVG,,https://en.wikipedia.org/wiki/Cincinnati/Northern_Kentucky_International_Airport,,1029475,2020-06-19T11:43:26+00:00,Cincinnati Northern Kentucky International Airport,8506262
3926,KTPA,large_airport,Tampa International Airport,27.97550011,-82.53320313,26,,United States,US,Florida,US-FL,FL,Tampa,1,KTPA,TPA,TPA,,https://en.wikipedia.org/wiki/Tampa_International_Airport,,1017475,2008-06-13T14:30:04+00:00,Tampa International Airport,4170705
3420,KBNA,large_airport,Nashville International Airport,36.12450027,-86.67819977,599,,United States,US,Tennessee,US-TN,TN,Nashville,1,KBNA,BNA,BNA,,https://en.wikipedia.org/wiki/Nashville_International_Airport,,52075,2008-06-13T14:30:04+00:00,Nashville International Airport,4413366
3778,KPIT,large_airport,Pittsburgh International Airport,40.49150085,-80.23290253,1203,,United States,US,Pennsylvania,US-PA,PA,Pittsburgh,1,KPIT,PIT,PIT,,https://en.wikipedia.org/wiki/Pittsburgh_International_Airport,,1021875,2010-01-23T11:28:03+00:00,Pittsburgh International Airport,4413366
3386,KAUS,large_airport,Austin Bergstrom International Airport,30.19449997,-97.66989899,542,,United States,US,Texas,US-TX,TX,Austin,1,KAUS,AUS,AUS,http://www.ci.austin.tx.us/austinairport/,https://en.wikipedia.org/wiki/Austin-Bergstrom_International_Airport,,51675,2008-06-13T14:30:04+00:00,Austin Bergstrom International Airport,0
3883,KSJC,large_airport,Norman Y. Mineta San Jose International Airport,37.362598,-121.929001,62,,United States,US,California,US-CA,CA,San Jose,1,KSJC,SJC,SJC,http://www.flysanjose.com/,https://en.wikipedia.org/wiki/San_Jose_International_Airport,"QSF, QBA",1014275,2017-05-27T23:04:55+00:00,Norman Y. Mineta San Jose International Airport,4413366
3744,KOAK,large_airport,Metropolitan Oakland International Airport,37.721298,-122.221001,9,,United States,US,California,US-CA,CA,Oakland,1,KOAK,OAK,OAK,http://www.oaklandairport.com/,https://en.wikipedia.org/wiki/Oakland_International_Airport,"QSF, QBA",1012475,2017-05-27T22:59:41+00:00,Metropolitan Oakland International Airport,4413366
3844,KRDU,large_airport,Raleigh Durham International Airport,35.87760162,-78.78749847,435,,United States,US,North Carolina,US-NC,NC,Raleigh/Durham,1,KRDU,RDU,RDU,,https://en.wikipedia.org/wiki/Raleigh-Durham_International_Airport,,1011675,2008-06-13T14:30:04+00:00,Raleigh Durham International Airport,4170705
3675,KMEM,large_airport,Memphis International Airport,35.04240036,-89.97669983,341,,United States,US,Tennessee,US-TN,TN,Memphis,1,KMEM,MEM,MEM,,https://en.wikipedia.org/wiki/Memphis_International_Airport,,1014475,2008-06-13T14:30:04+00:00,Memphis International Airport,4413366
3863,KSAT,large_airport,San Antonio International Airport,29.533701,-98.469803,809,,United States,US,Texas,US-TX,TX,San Antonio,1,KSAT,SAT,SAT,https://www.sanantonio.gov/aviation,https://en.wikipedia.org/wiki/San_Antonio_International_Airport,,1475,2020-04-19T09:52:41+00:00,San Antonio International Airport,4170705
3668,KMCI,large_airport,Kansas City International Airport,39.2976,-94.713898,1026,,United States,US,Missouri,US-MO,MO,Kansas City,1,KMCI,MCI,MCI,http://www.flykci.com/,https://en.wikipedia.org/wiki/Kansas_City_International_Airport,,1015075,2016-05-31T09:33:29+00:00,Kansas City International Airport,4706407
3588,KHOU,large_airport,William P Hobby Airport,29.64539909,-95.27890015,46,,United States,US,Texas,US-TX,TX,Houston,1,KHOU,HOU,HOU,http://www.fly2houston.com/hobbyHome,https://en.wikipedia.org/wiki/William_P._Hobby_Airport,QHO,1011575,2010-01-23T11:27:52+00:00,William P Hobby Airport,4170705
3894,KSNA,large_airport,John Wayne Airport-Orange County Airport,33.67570114,-117.8679962,56,,United States,US,California,US-CA,CA,Santa Ana,1,KSNA,SNA,SNA,http://www.ocair.com/,https://en.wikipedia.org/wiki/John_Wayne_Airport,"Disney, Disneyland, Orange County",51150,2010-01-26T11:26:00+00:00,John Wayne Airport-Orange County Airport,4413366
3454,KCLE,large_airport,Cleveland Hopkins International Airport,41.4117012,-81.84980011,791,,United States,US,Ohio,US-OH,OH,Cleveland,1,KCLE,CLE,CLE,http://www.clevelandairport.com/,https://en.wikipedia.org/wiki/Cleveland_Hopkins_International_Airport,,1015875,2010-10-22T20:04:02+00:00,Cleveland Hopkins International Airport,0
3479,KDAL,large_airport,Dallas Love Field,32.847099,-96.851799,487,,United States,US,Texas,US-TX,TX,Dallas,1,KDAL,DAL,DAL,http://www.dallas-lovefield.com/,https://en.wikipedia.org/wiki/Dallas_Love_Field,QDF,1675,2017-06-18T20:36:36+00:00,Dallas Love Field,0
3610,KIND,large_airport,Indianapolis International Airport,39.7173,-86.294403,797,,United States,US,Indiana,US-IN,IN,Indianapolis,1,KIND,IND,IND,http://www.indianapolisairport.com/,https://en.wikipedia.org/wiki/Indianapolis_International_Airport,,52075,2016-07-08T18:41:42+00:00,Indianapolis International Airport,4413366
16091,KABQ,large_airport,Albuquerque International Sunport,35.040199,-106.609001,5355,,United States,US,New Mexico,US-NM,NM,Albuquerque,1,KABQ,ABQ,ABQ,http://www.abqsunport.com/,https://en.wikipedia.org/wiki/Albuquerque_International_Sunport,,450,2018-09-15T18:43:33+00:00,Albuquerque International Sunport,0
3690,KMKE,large_airport,General Mitchell International Airport,42.94720078,-87.89659882,723,,United States,US,Wisconsin,US-WI,WI,Milwaukee,1,KMKE,MKE,MKE,,https://en.wikipedia.org/wiki/General_Mitchell_International_Airport,,1575,2008-06-13T14:30:04+00:00,General Mitchell International Airport,4413366
3458,KCMH,large_airport,John Glenn Columbus International Airport,39.998001,-82.891899,815,,United States,US,Ohio,US-OH,OH,Columbus,1,KCMH,CMH,CMH,https://flycolumbus.com/,https://en.wikipedia.org/wiki/Port_Columbus_International_Airport,,1675,2018-04-19T16:19:05+00:00,John Glenn Columbus International Airport,0
3932,KTUS,large_airport,Tucson International Airport / Morris Air National Guard Base,32.115004,-110.938053,2643,,United States,US,Arizona,US-AZ,AZ,Tucson,1,KTUS,TUS,TUS,https://www.flytucson.com/,https://en.wikipedia.org/wiki/Tucson_International_Airport,"tucson, tucson international, morris angb",1050,2020-06-23T12:19:33+00:00,Tucson International Airport / Morris Air National Guard Base,0
